Specie_FAO,Peso_medio_ind_kg,kg_2019,kg_2020,kg_2021,kg_2022,kg_2023,Media_kg_5anni,Individui_annui,Percentuale_ind
"Blue whitings (Micromesistius poutassou, Micromesistius australis), fresh or chilled",1.5,47276.89,37358.43,30875.77,16504.52,22565.38,30916.198000000004,20610798.666666668,1.0083586282706625
"Bonito (Sarda spp.), not minced, prepared or preserved, nei",1.5,50.97,29.6,47.6,91.78999999999999,116.69,67.33,44886.666666666664,0.002196026382075302
"Brisling or sprats, fresh or chilled",1.5,58807.11,42335.91,53922.93,64960.72,60959.840000000004,56197.302,37464868.0,1.8329237753371923
"Brisling or sprats, frozen",1.5,3239.98,1310.85,1041.23,1261.23,1882.8,1747.2179999999996,1164811.9999999998,0.05698703138625939
"Cape hake fillets, frozen",1.5,2021.43,2138.41,2553.55,2561.31,2904.31,2435.802,1623868.0,0.07944579613117163
"Cape hake, fresh or chilled",1.5,239.06,205.81,35.489999999999995,107.39,228.48,163.246,108830.66666666667,0.005324409962398112
"Cape hake, frozen",1.5,86.78,127.39,140.37,360.06,222.34,187.388,124925.33333333333,0.006111822243937721
"Capelin, fresh or chilled",1.5,0.95,0.0,0.0,0.0,0.0,0.19,126.66666666666667,6.197014890751634e-06
Carps live,1.5,12.74,11.81,3.65,3.5500000000000003,6.47,7.644,5096.0,0.000249315693815292
"Carps, eels and snakeheads, fillets, fresh or chilled",1.5,235.76,111.05,23.540000000000003,24.25,525.89,184.098,122732.0,0.00600451603872418
"Carps, eels and snakeheads, fillets, frozen",1.5,11.319999999999999,13.1,4.0600000000000005,6.4799999999999995,18.46,10.684,7122.666666666667,0.0003484679320673182
"Carps, fresh or chilled",1.5,61.17,114.64,93.9,66.66999999999999,88.18,84.912,56608.0,0.002769478570544751
"Carps, frozen",1.5,96.64,170.31,240.96,234.82,191.66,186.878,124585.33333333333,0.00609518815133623
"Catfish fillets, fresh or chilled",1.5,1172.22,739.1999999999999,612.98,691.05,705.07,784.104,522736.0,0.025574232441567993
"Catfish fillets, frozen",1.5,4614.73,3478.7000000000003,3569.47,4136.5199999999995,3747.4399999999996,3909.3719999999994,2606247.9999999995,0.12750756051309206
"Catfish, fresh or chilled",1.5,213.12,193.2,130.0,79.52,67.74000000000001,136.71599999999998,91143.99999999999,0.0044591109884421064
"Catfish, frozen",1.5,715.3800000000001,977.07,1095.23,1037.67,1281.9,1021.45,680966.6666666666,0.03331547821135924
Caviar,1.5,165.44,39.29,27.43,22.53,19.11,54.760000000000005,36506.66666666667,0.001786044923250313
Caviar substitutes,1.5,2757.77,2335.31,2359.2200000000003,2425.87,8630.95,3701.8240000000005,2467882.666666667,0.12073820237337778
"Clams, cockles, arkshells nei, dried, salted or in brine, smoked",1.5,138.29,11.2,123.09,15.18,73.90999999999998,72.33399999999999,48222.66666666666,0.0023592361847769926
"Clams, cockles, arkshells, etc., prep. or pres., nei",1.5,982.8,1617.15,1752.38,1965.66,1225.16,1508.6299999999999,1005753.3333333331,0.04920527670860334
"Clams, cockles, arkshells, frozen",1.5,101.71,69.78,188.06,169.81,222.23,150.318,100212.0,0.004902752022884232
"Clams, cockles, arkshells, live, fresh or chilled",1.5,6501.65,5946.46,2570.5099999999998,2755.81,2354.76,4025.8380000000006,2683892.0000000005,0.1313062001776515
"Cobia, fresh or chilled",1.5,1.0,0.01,2.1399999999999997,0.0,0.18,0.6659999999999999,443.99999999999994,2.1722167985476776e-05
"Cobia, frozen",1.5,574.98,102.03999999999999,0.0,0.0,0.0,135.404,90269.33333333333,0.004416318969828074
"Cod fillets in blocks, frozen, nei",1.5,3311.78,3016.21,3744.47,2548.55,2834.12,3091.0259999999994,2060683.9999999998,0.10081649552473924
Cod liver oil,1.5,42.55,238.19,328.14,226.06,225.46,212.08,141386.66666666666,0.006917173252792665
"Cod nei fillets, dried, salted or in brine",1.5,622.1999999999999,437.43,540.03,449.01000000000005,253.97,460.52799999999996,307018.6666666666,0.015020520387410885
"Cod nei, fillets, frozen",1.5,38353.05,32462.41,28266.08,23347.61,19027.35,28291.3,18860866.666666668,0.9227453019932721
"Cod, dried, unsalted (stockfish)",1.5,241.77,341.91,186.39000000000001,148.66,154.73,214.692,143128.0,0.007002365899606578
"Cod, meat, frozen",1.5,866.37,507.04999999999995,532.66,317.39000000000004,213.79999999999998,487.454,324969.3333333333,0.01589873524503393
"Cod, salted and dried (klipfish)",1.5,2067.13,1705.0900000000001,1448.73,1731.04,1444.85,1679.368,1119578.6666666667,0.05477404475290416
"Cods nei, fillets, fresh or chilled",1.5,21609.52,18699.43,21722.18,19440.3,14779.37,19250.159999999996,12833439.999999998,0.627860674575534
"Cods nei, frozen",1.5,0.0,1.33,0.0,0.0,0.0,0.266,177.33333333333334,8.675820847052289e-06
"Cods nei, salted or in brine",1.5,431.96,420.11,2896.4900000000002,250.70000000000002,550.0,909.8520000000001,606568.0000000001,0.02967561259147451
"Cods, fresh or chilled, nei",1.5,35397.07,35156.1,43367.35,38529.87,32097.46,36909.56999999999,24606379.999999996,1.2038376573749459
"Cods, not minced, prepared or preserved",1.5,3964.25,4256.5,3853.61,4338.77,3561.38,3994.9020000000005,2663268.0000000005,0.13029719568996573
"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",1.5,0.0,0.0,0.0,17.16,0.15000000000000002,3.4619999999999997,2307.9999999999995,0.00011291613448306394
"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled",1.5,326.0,464.45,467.5,797.89,675.55,546.278,364185.3333333333,0.017817331055210633
"Cold-water shrimps and prawns Pandalus spp, in shell or not, live, fresh or chilled",1.5,61.9,28.66,235.12,831.87,622.39,355.988,237325.33333333334,0.011610857562783647
"Common shrimp (Crangon crangon), even smoked, frozen",1.5,2040.63,1539.12,1524.17,1483.04,1371.6000000000001,1591.712,1061141.3333333333,0.051915068240989806
"Common sole (Solea Solea), frozen",1.5,681.58,796.44,628.25,704.84,456.25,653.472,435648.0,0.021313556393101323
"Common sole (Solea solea), fresh or chilled",1.5,2796.1800000000003,3875.32,7127.7,3021.04,2866.01,3937.25,2624833.3333333335,0.12841682567690457
